date,buy,sell
2025-12-31,16698.09,16865.91
2025-12-30,16704.06,16871.94
2025-12-29,16683.17,16850.83
2025-12-24,16706.05,16873.95
2025-12-23,16689.13,16856.87
2025-12-22,16651.33,16818.67
2025-12-19,16638.39,16805.61
2025-12-18,16614.51,16781.49
2025-12-17,16609.53,16776.47
2025-12-16,16585.65,16752.35
2025-12-15,16568.74,16735.26
2025-12-12,16584.66,16751.34
2025-12-11,16604.56,16771.44
2025-12-10,16593.62,16760.38
2025-12-09,16604.56,16771.44
2025-12-08,16571.72,16738.28
2025-12-05,16562.77,16729.23
2025-12-04,16548.84,16715.16
2025-12-03,16548.84,16715.16
2025-12-02,16584.66,16751.34
2025-12-01,16577.69,16744.31
2025-11-28,16560.78,16727.22
2025-11-27,16589.63,16756.37
2025-11-26,16583.67,16750.33
2025-11-25,16625.46,16792.54
2025-11-24,16635.4,16802.6
2025-11-21,16658.29,16825.71
2025-11-20,16648.34,16815.66
2025-11-19,16676.2,16843.8
2025-11-18,16650.33,16817.67
2025-11-17,16626.45,16793.55
2025-11-14,16648.34,16815.66
2025-11-13,16638.39,16805.61
2025-11-12,16614.51,16781.49
2025-11-11,16582.67,16749.33
2025-11-10,16620.48,16787.52
2025-11-07,16623.47,16790.53
2025-11-06,16645.35,16812.65
2025-11-05,16640.38,16807.62
2025-11-04,16580.68,16747.32
2025-11-03,16541.88,16708.13
2025-10-31,16556.8,16723.2
2025-10-30,16547.85,16714.15
2025-10-29,16538.89,16705.11
2025-10-28,16544.86,16711.14
2025-10-27,16546.85,16713.15
2025-10-24,16561.78,16728.22
2025-10-23,16533.92,16700.08
2025-10-22,16506.06,16671.94
2025-10-21,16502.08,16667.92
2025-10-20,16507.05,16672.95
2025-10-17,16497.1,16662.9
2025-10-16,16494.12,16659.88
2025-10-15,16494.12,16659.88
2025-10-14,16497.1,16662.9
2025-10-13,16502.08,16667.92
2025-10-10,16451.33,16616.67
2025-10-09,16522.97,16689.03
2025-10-08,16477.2,16642.8
2025-10-07,16515.01,16680.99
2025-10-06,16527.94,16694.06
2025-10-03,16528.94,16695.06
2025-10-02,16596.6,16763.4
2025-10-01,16608.54,16775.46
2025-09-30,16596.6,16763.4
2025-09-29,16691.13,16858.88
2025-09-26,16668.24,16835.76
2025-09-25,16596.6,16763.4
2025-09-24,16552.82,16719.18
2025-09-23,16523.97,16690.03
2025-09-22,16495.11,16660.89
2025-09-19,16415.51,16580.49
2025-09-18,16347.85,16512.15
2025-09-17,16303.08,16466.92
2025-09-16,16322.98,16487.03
2025-09-15,16309.05,16472.96
2025-09-12,16385.66,16550.34
2025-09-11,16374.72,16539.28
2025-09-10,16379.69,16544.31
2025-09-09,16266.26,16429.74
2025-09-08,16355.81,16520.19
2025-09-04,16341.88,16506.12
2025-09-03,16335.91,16500.09
2025-09-02,16380.68,16545.31
2025-09-01,16378.69,16543.31
2025-08-29,16274.22,16437.78
2025-08-28,16273.23,16436.78
2025-08-27,16195.61,16358.39
2025-08-26,16173.73,16336.27
2025-08-25,16258.3,16421.7
2025-08-22,16201.58,16364.42
2025-08-21,16209.55,16372.45
2025-08-20,16159.8,16322.2
2025-08-19,16081.19,16242.81
2025-08-15,16028.45,16189.55
2025-08-14,16155.82,16318.18
2025-08-13,16216.51,16379.49
2025-08-12,16171.74,16334.26
2025-08-11,16217.5,16380.5
2025-08-08,16230.44,16393.56
2025-08-07,16297.1,16460.9
2025-08-06,16306.06,16469.94
2025-08-05,16306.06,16469.94
2025-08-04,16411.53,16576.47
2025-08-01,16376.7,16541.29
2025-07-31,16305.07,16468.94
2025-07-30,16317.0,16480.99
2025-07-29,16259.3,16422.71
2025-07-28,16243.38,16406.63
2025-07-25,16201.58,16364.42
2025-07-24,16216.51,16379.49
2025-07-23,16225.47,16388.53
2025-07-22,16248.35,16411.65
2025-07-21,16219.5,16382.5
2025-07-18,16247.35,16410.65
2025-07-17,16206.56,16369.44
2025-07-16,16199.59,16362.41
2025-07-15,16165.76,16328.24
2025-07-14,16139.9,16302.1
2025-07-11,16138.9,16301.1
2025-07-10,16172.73,16335.27
2025-07-09,16156.81,16319.19
2025-07-08,16155.82,16318.18
2025-07-07,16122.98,16285.02
2025-07-04,16127.95,16290.05
2025-07-03,16154.82,16317.18
2025-07-02,16111.04,16272.96
2025-07-01,16149.84,16312.16
2025-06-30,16151.83,16314.17
2025-06-26,16210.54,16373.46
2025-06-25,16288.15,16451.85
2025-06-24,16401.58,16566.42
2025-06-23,16317.0,16480.99
2025-06-20,16296.11,16459.89
2025-06-19,16237.41,16400.6
2025-06-18,16199.59,16362.41
2025-06-17,16214.52,16377.48
2025-06-16,16211.53,16374.47
2025-06-13,16155.82,16318.18
2025-06-12,16183.67,16346.33
2025-06-11,16194.62,16357.38
2025-06-10,16195.61,16358.39
2025-06-05,16223.48,16386.53
2025-06-04,16206.56,16369.44
2025-06-03,16215.51,16378.49
2025-06-02,16218.5,16381.5
2025-05-28,16173.73,16336.27
2025-05-27,16125.97,16288.03
2025-05-26,16207.56,16370.44
2025-05-23,16231.43,16394.56
2025-05-22,16330.93,16495.06
2025-05-21,16323.97,16488.03
2025-05-20,16372.73,16537.28
2025-05-19,16341.88,16506.12
2025-05-16,16452.33,16617.67
2025-05-15,16485.16,16650.84
2025-05-14,16449.34,16614.66
2025-05-09,16414.51,16579.49
2025-05-08,16450.33,16615.67
2025-05-07,16389.64,16554.36
2025-05-06,16338.9,16503.1
2025-05-05,16410.53,16575.47
2025-05-02,16595.6,16762.4
2025-04-30,16703.06,16870.94
2025-04-29,16777.69,16946.31
2025-04-28,16744.85,16913.15
2025-04-25,16799.58,16968.42
2025-04-24,16795.6,16964.4
2025-04-23,16777.69,16946.31
2025-04-22,16723.96,16892.04
2025-04-21,16748.83,16917.17
2025-04-17,16760.78,16929.22
2025-04-16,16730.92,16899.08
2025-04-15,16689.13,16856.87
2025-04-14,16720.97,16889.03
2025-04-11,16695.1,16862.9
2025-04-10,16858.28,17027.72
2025-04-09,16764.76,16933.24
2025-04-08,16483.17,16648.83
2025-03-27,16505.06,16670.94
2025-03-26,16538.89,16705.11
2025-03-25,16478.19,16643.81
2025-03-24,16418.49,16583.51
2025-03-21,16398.6,16563.4
2025-03-20,16445.36,16610.64
2025-03-19,16349.84,16514.16
2025-03-18,16297.1,16460.9
2025-03-17,16310.04,16473.96
2025-03-14,16345.86,16510.14
2025-03-13,16370.74,16535.26
2025-03-12,16347.85,16512.15
2025-03-11,16244.37,16407.63
2025-03-10,16254.32,16417.68
2025-03-07,16233.42,16396.58
2025-03-06,16289.15,16452.85
2025-03-05,16360.78,16525.22
2025-03-04,16423.47,16588.53
2025-03-03,16492.13,16657.88
2025-02-28,16348.84,16513.15
2025-02-27,16305.07,16468.94
2025-02-26,16234.42,16397.58
2025-02-25,16221.49,16384.51
2025-02-24,16218.5,16381.5
2025-02-21,16262.28,16425.72
2025-02-20,16275.22,16438.78
2025-02-19,16193.63,16356.38
2025-02-18,16126.96,16289.04
2025-02-17,16203.58,16366.42
2025-02-14,16283.17,16446.83
2025-02-13,16282.18,16445.82
2025-02-12,16298.1,16461.9
2025-02-11,16268.25,16431.75
2025-02-10,16243.38,16406.63
2025-02-07,16248.35,16411.65
2025-02-06,16226.46,16389.54
2025-02-05,16283.17,16446.83
2025-02-04,16370.74,16535.26
2025-02-03,16230.44,16393.56
2025-01-31,16177.7,16340.3
2025-01-30,16119.0,16281.0
2025-01-24,16194.62,16357.38
2025-01-23,16245.36,16408.63
2025-01-22,16249.34,16412.65
2025-01-21,16290.14,16453.86
2025-01-20,16291.14,16454.87
2025-01-17,16296.11,16459.89
2025-01-16,16229.44,16392.56
2025-01-15,16183.67,16346.33
2025-01-14,16199.59,16362.41
2025-01-13,16113.03,16274.97
2025-01-10,16156.81,16319.19
2025-01-09,16120.0,16282.0
2025-01-08,16088.16,16249.84
2025-01-07,16112.03,16273.97
2025-01-06,16135.92,16298.08
2025-01-03,16154.82,16317.18
2025-01-02,16076.22,16237.78
2024-12-31,16081.19,16242.81
2024-12-30,16169.75,16332.25
2024-12-27,16126.96,16289.04
2024-12-24,16078.2,16239.8
2024-12-23,16188.65,16351.35
2024-12-20,16195.61,16358.39
2024-12-19,16019.5,16180.5
2024-12-18,15969.75,16130.25
2024-12-17,15938.91,16099.09
2024-12-16,15907.07,16066.93
2024-12-13,15859.31,16018.69
2024-12-12,15825.48,15984.52
2024-12-11,15794.63,15953.37
2024-12-10,15781.69,15940.31
2024-12-09,15768.76,15927.24
2024-12-06,15812.54,15971.46
2024-12-05,15877.22,16036.78
2024-12-04,15870.25,16029.75
2024-12-03,15825.48,15984.52
2024-12-02,15776.72,15935.28
2024-11-29,15784.68,15943.32
2024-11-28,15850.35,16009.65
2024-11-26,15784.68,15943.32
2024-11-25,15831.44,15990.56
2024-11-22,15862.29,16021.71
2024-11-21,15778.71,15937.29
2024-11-20,15736.92,15895.08
2024-11-19,15768.76,15927.24
2024-11-18,15808.56,15967.44
2024-11-15,15793.64,15952.36
2024-11-14,15703.09,15860.91
2024-11-13,15692.15,15849.85
2024-11-12,15598.61,15755.39
2024-11-11,15592.65,15749.35
2024-11-08,15688.17,15845.83
2024-11-07,15760.8,15919.2
2024-11-06,15687.17,15844.83
2024-11-05,15672.25,15829.75
2024-11-04,15644.39,15801.61
2024-11-01,15626.48,15783.52
2024-10-31,15653.34,15810.66
2024-10-30,15681.2,15838.8
2024-10-29,15650.35,15807.65
2024-10-28,15550.85,15707.15
2024-10-25,15515.03,15670.97
2024-10-24,15541.9,15698.1
2024-10-23,15482.2,15637.8
2024-10-22,15387.67,15542.33
2024-10-21,15388.67,15543.33
2024-10-18,15438.42,15593.58
2024-10-17,15458.32,15613.68
2024-10-16,15477.23,15632.77
2024-10-15,15503.09,15658.91
2024-10-14,15530.95,15687.05
2024-10-11,15579.71,15736.29
2024-10-10,15528.97,15685.03
